Job Title,Experience Level,Location,Key Technologies,Job Description
IoT Solutions Architect,Mid,Bandung,"MQTT, Zigbee, AWS IoT, Azure IoT Hub, EdgeX",Merancang dan mengimplementasikan solusi IoT pada perangkat terdistribusi.
Quantum Computing Engineer,Mid,Surabaya,"Qiskit, Cirq, IBM Q, Quantum Algorithms",Mengembangkan algoritma kuantum dan simulasi pada sistem eksperimental.
Data Privacy Analyst,Mid,Remote,"GDPR, HIPAA, Data Masking, Compliance Tools",Memastikan data pengguna sesuai regulasi dan kebijakan privasi global.
IoT Solutions Architect,Senior,Yogyakarta,"MQTT, Zigbee, AWS IoT, Azure IoT Hub, EdgeX",Merancang dan mengimplementasikan solusi IoT pada perangkat terdistribusi.
IoT Solutions Architect,Entry,Bandung,"MQTT, Zigbee, AWS IoT, Azure IoT Hub, EdgeX",Merancang dan mengimplementasikan solusi IoT pada perangkat terdistribusi.
Quantum Computing Engineer,Entry,Remote,"Qiskit, Cirq, IBM Q, Quantum Algorithms",Mengembangkan algoritma kuantum dan simulasi pada sistem eksperimental.
Smart Contract Developer,Entry,Jakarta,"Solidity, Ethereum, Truffle, Remix, Web3.js",Membangun kontrak pintar untuk aplikasi blockchain terdesentralisasi.
Site Reliability Engineer,Senior,Bali,"Prometheus, Grafana, Kubernetes, Linux, CI/CD",Menjaga ketersediaan dan keandalan sistem produksi berskala besar.
Platform Reliability Engineer,Entry,Surabaya,"Datadog, Terraform, PagerDuty, AWS Lambda",Menjamin keandalan platform dengan monitoring dan fault tolerance.
Data Privacy Analyst,Entry,Surabaya,"GDPR, HIPAA, Data Masking, Compliance Tools",Memastikan data pengguna sesuai regulasi dan kebijakan privasi global.
Robotics Software Engineer,Senior,Yogyakarta,"ROS, Gazebo, C++, Python, SLAM",Mendesain perangkat lunak untuk robot cerdas dan sistem otonom.
Embedded Systems Developer,Senior,Surabaya,"C, C++, ARM, STM32, Keil, RTOS",Mengembangkan perangkat lunak low-level untuk embedded hardware.
Mobile DevOps Engineer,Entry,Yogyakarta,"Fastlane, Firebase, Bitrise, Android Studio, Xcode",Mengelola dan mengotomatiskan release pipeline untuk aplikasi mobile.
Robotics Software Engineer,Mid,Jakarta,"ROS, Gazebo, C++, Python, SLAM",Mendesain perangkat lunak untuk robot cerdas dan sistem otonom.
Mobile DevOps Engineer,Senior,Yogyakarta,"Fastlane, Firebase, Bitrise, Android Studio, Xcode",Mengelola dan mengotomatiskan release pipeline untuk aplikasi mobile.
Site Reliability Engineer,Senior,Bandung,"Prometheus, Grafana, Kubernetes, Linux, CI/CD",Menjaga ketersediaan dan keandalan sistem produksi berskala besar.
Bioinformatics Engineer,Mid,Bali,"Python, R, Bioconductor, Genomic Data, NGS",Menganalisis dan memproses data biologis menggunakan algoritma komputasional.
Embedded Systems Developer,Entry,Bali,"C, C++, ARM, STM32, Keil, RTOS",Mengembangkan perangkat lunak low-level untuk embedded hardware.
Edge Computing Specialist,Mid,Bandung,"NVIDIA Jetson, Edge TPU, Real-time Processing",Mengembangkan sistem komputasi di edge untuk mengurangi latensi data.
